Position,Frame,mean_curved,volume_curved,mean_background,mask_mean,mask_area,mask_eccentricity,mask_centroid_x,mask_centroid_y,mask_total
74,189,125.71739130434783,92.0,123.64473684210526,151.17391304347825,23.0,0.8366600265340756,688.0,712.0,23.0
75,189,136.21875,64.0,127.76506024096386,177.5,32.0,0.7548078614110079,582.75,46.0,78.0
76,189,108.71659559346126,444612.0,115.5273132378928,206.185697159239,95925.0,0.6150510526516743,242.78811571540265,448.9313317696117,106075.0
77,189,107.67896630140505,770863.0,113.11548184526205,248.97194932207157,134970.0,0.8694778849538416,859.5669556197673,300.4826109505816,135988.0
78,189,107.4375560539647,732553.0,112.89135680492485,211.50350297716028,135028.0,0.8596615349501433,424.13957845780135,222.90244245637942,135028.0
79,189,108.39217499065641,203348.0,109.7337451716666,229.5427813480795,26764.0,0.9915622602188782,109.61489314003886,401.4282992078912,47716.0
7,189,148.69937654795456,11709.0,127.82731169626454,197.86677838290743,2387.0,0.6913420144291934,581.7922077922078,259.6648512777545,17312.0
8,189,154.12769495412843,17440.0,123.18644507920021,203.2898599066044,2998.0,0.8406972896213948,712.8488992661775,440.23182121414277,19210.0
9,189,140.77492211838006,10272.0,133.64934772829508,189.29013816102906,2099.0,0.8822530089995074,578.3668413530253,236.00095283468318,8089.0
10,18,144.22732045359092,19048.0,114.08950529024878,253.29895561357702,3830.0,0.8429003334296999,694.9232375979112,643.4618798955613,12850.0
11,18,133.53974863135167,25938.0,115.50125313283208,229.71487964989058,4570.0,0.8659044462914804,625.9063457330416,326.12603938730854,14161.0
12,18,124.85156825209836,6791.0,123.43293914046727,209.79620034542313,1158.0,0.9052554892518442,678.1571675302246,492.35837651122625,7767.0
13,18,140.1775799086758,21900.0,113.44847372044985,266.2623775483188,3777.0,0.85689085948911,551.9729944400318,459.2864707439767,12009.0
14,18,140.96439967465432,15983.0,122.74695652173914,210.13048855905998,3234.0,0.8402653531255944,716.3970315398886,161.7482993197279,30814.0
15,18,149.89500457828873,19658.0,119.55151515151515,222.13651073845247,3399.0,0.8450877419226228,586.0208884966166,596.2850838481907,14775.0
